Period,Amplitude,kfᴸᴬ,krᴸᴬ,kfᴸᴷ,krᴸᴷ,kcatᴸᴷ,kfᴸᴾ,krᴸᴾ,kcatᴸᴾ,kfᴬᴷ,krᴬᴷ,kfᴬᴾ,krᴬᴾ,DF,L,K,P,A,Kdᴸᴬ,Kdᴬᴷ,Kdᴬᴾ,Kmᴸᴷ,Kmᴸᴾ
457.23333,0.75298,10.34686,0.51614,0.001,136.1271,137.30349,14.28816,18.90131,3.38711,92.21539,18.69565,0.001,0.001,1000.0,11.34793,8.18936,4.75085,1.9059,0.04988,0.20274,1.0,273430.59118,1.55992
250.31667,0.70891,4.32485,0.44759,0.001,17.01607,34.23219,20.56242,0.12861,11.08706,0.37308,0.001,0.96727,0.02473,500.0,78.3593,1.36024,0.45738,0.26483,0.10349,0.00268,0.02557,51248.26396,0.54545
578.65,0.83664,58.28939,9.29196,0.001,1.16767,4.07307,4.27808,1.51835,0.2939,22.54552,111.07808,0.001,0.001,1000.0,13.65001,2.77444,0.97205,0.975,0.15941,4.92684,1.0,5240.73214,0.42361
826.6,0.5299,44.95173,2.2815,0.001,0.251,639.22668,1.40238,0.126,0.18054,0.001,0.001,0.001,0.001,500.0,9.59566,0.52296,0.27982,0.1,0.05075,1.0,1.0,639477.68427,0.21859
63.97778,0.34629,0.508,1.12901,0.001,501.41002,18.49989,5.66245,627.59888,3.84481,0.49753,4.51777,0.001,0.02098,1000.0,32.40693,55.01141,2.94304,3.83195,2.22244,9.08046,20.98107,519909.91344,111.51432
516.73333,0.73487,1.01666,2.58862,0.001,9.84094,12.18423,1.00148,0.251,1.74919,0.001,0.001,0.251,0.376,500.0,19.03351,11.89091,0.83963,1.02279,2.5462,1.0,1.49801,22025.17252,1.99724
731.5,0.82014,0.04833,0.29866,0.001,95.95906,477.72322,0.47406,0.45284,17.90461,7.80921,4.98095,0.001,0.001,1000.0,61.84459,14.52158,1.52267,1.61141,6.17924,0.63783,1.0,573682.27597,38.72354
856.0,0.54221,0.19749,0.68317,0.02526,9.85007,379.13222,27.28573,12.98952,103.47627,0.376,0.001,0.251,0.001,1000.0,12.07395,41.51235,2.08241,2.5306,3.45934,0.00266,0.00398,15398.54516,4.26838
127.35385,0.65122,51.89622,14.52157,0.001,0.001,391.33905,1.53015,0.45933,1.63903,0.91767,0.45933,0.001,0.001,1000.0,53.93912,27.22715,7.60929,3.79869,0.27982,0.50054,1.0,391340.04962,1.37135
779.3,0.82504,1.89912,0.74086,0.00383,0.001,206.77958,17.58894,0.001,52.54242,37.50396,10.09042,0.001,0.001,500.0,23.27327,7.45741,1.30453,1.90261,0.39011,0.26905,1.0,53964.79858,2.9873
558.3,0.80887,1.92685,0.29547,0.001,462.31637,36.46182,1.06322,0.12956,0.16734,0.13315,0.001,0.60452,0.16502,1000.0,12.53574,5.97532,5.16348,3.34635,0.15334,0.00751,0.27298,498778.19491,0.27924
718.6,0.762,16.60273,40.90244,0.001,0.2523,455.24976,5.79175,116.20225,44.4726,57.73155,1.20763,0.001,0.001,500.0,54.68428,3.16185,2.09954,2.78195,2.4636,0.02092,1.0,455502.06235,27.74203
161.79,0.41601,9.97732,1.45948,0.001,0.2245,27.15874,91.81444,44.89467,0.77044,8.26303,0.01699,0.25355,0.001,100.0,44.01765,32.02741,13.16769,12.98605,0.14628,0.00206,0.00394,27383.24267,0.49736
533.2,0.74531,0.79833,0.35407,0.001,96.08406,478.72322,0.63704,0.70284,18.02961,0.001,0.001,0.001,0.001,1000.0,62.09459,14.89658,2.52267,1.61141,0.44351,1.0,1.0,574807.27597,29.40555
103.76875,0.8534,1.126,1.12712,0.001,134.32552,28.07661,2.64372,0.38339,1.60205,1.126,0.01733,1.15874,0.751,1000.0,99.83521,6.33095,5.97723,4.11033,1.001,0.01539,0.64812,162402.13158,0.751
725.5,0.77197,0.50162,0.88093,0.001,16.84123,225.47892,1.59484,57.10999,3.22104,1.42732,0.001,32.20593,0.00442,1000.0,34.52137,12.74244,3.70286,3.81939,1.75619,0.0007,0.00014,242320.15118,37.8288
268.81667,0.75587,0.50293,0.15005,0.0067,0.001,38.12056,5.23385,0.08467,1.7966,0.251,0.126,0.001,0.001,1000.0,10.67482,3.59937,1.53145,1.07279,0.29836,0.50199,1.0,5688.89637,0.35944
433.16667,0.88655,27.44852,2.001,0.001,0.251,838.06887,7.57086,1.27445,1.05028,16.05017,13.2055,0.001,0.001,1000.0,21.92457,1.52334,1.14613,0.46572,0.0729,0.82276,1.0,838319.87485,0.30706
